,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
196,77,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,233787,4
197,66,0.869,0.712,9,-6.136,1,0.103,0.0715,0.0,0.272,0.435,120.0,275867,4
198,67,0.697,0.849,10,-4.953,0,0.248,0.228,4.52e-05,0.493,0.734,81.956,192067,4
199,74,0.485,0.72,6,-5.991,1,0.127,0.0123,0.0,0.0546,0.0471,207.982,126960,4
200,70,0.841,0.733,1,-5.077,1,0.142,0.0246,0.0,0.174,0.284,130.009,283693,4
201,72,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,245387,4
202,74,0.791,0.839,11,-4.284,1,0.266,0.0588,6.26e-05,0.259,0.383,170.113,202636,4
203,51,0.801,0.802,1,-5.516,1,0.434,0.0445,0.0,0.388,0.777,82.115,202031,4
204,47,0.661,0.636,4,-4.551,0,0.118,0.0203,2.25e-05,0.378,0.428,179.041,209813,4
205,76,0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079,343150,4
206,61,0.968,0.589,11,-7.808,1,0.255,0.0511,0.0,0.0731,0.268,129.993,262308,4
207,86,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4
208,80,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,260640,4
209,80,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,223440,4
211,88,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4
212,78,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960,4
213,83,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4
215,59,0.542,0.485,2,-7.718,1,0.146,0.842,0.0,0.0824,0.345,176.074,215497,4
216,39,0.724,0.742,7,-6.833,0,0.166,0.651,0.0,0.353,0.534,87.922,203864,4
217,29,0.738,0.887,5,-5.237,1,0.222,0.0471,0.0,0.311,0.677,155.031,245533,4
218,38,0.687,0.879,9,-6.664,1,0.236,0.308,0.0,0.0875,0.716,162.018,237493,4
219,38,0.749,0.786,7,-5.976,0,0.263,0.238,0.0,0.106,0.441,178.123,211880,4
220,28,0.786,0.611,0,-6.967,1,0.222,0.0851,4.3e-06,0.038,0.786,82.022,215293,4
221,49,0.806,0.833,7,-6.069,1,0.282,0.0297,0.00276,0.139,0.322,95.018,266217,4
222,46,0.86,0.722,1,-6.849,1,0.166,0.0922,0.00275,0.0903,0.12,97.025,218610,4
223,46,0.794,0.724,10,-6.706,1,0.104,0.229,0.000877,0.13,0.482,108.074,171389,4
224,43,0.73,0.32,9,-10.365,1,0.0489,0.598,0.0,0.0724,0.202,93.916,214773,4
225,36,0.829,0.723,10,-7.255,1,0.0751,0.292,0.00256,0.114,0.556,107.995,171413,4
